feature,mean_abs_shap,mean_shap_negative,mean_shap_positive
ICULOS_last,1.9938228,-1.3982116,4.7362776
SOFA_score_max_global_1,0.68329257,-0.22620082,0.29382646
NEWS_score_mean_global_1,0.39679027,-0.17349412,0.18201645
SOFA_score_mean_global_1,0.34891388,-0.16215943,0.13261847
SBP_missing_interval_mean_global_1,0.30387616,-0.0634946,0.2140758
NEWS_score_max_global_1,0.23225613,-0.089065865,0.12266096
NEWS_score_last_global_1,0.21085791,-0.08882086,0.08895768
HR_missing_interval_mean_global_1,0.18799746,-0.048642434,0.02804338
Resp_diff_std_6h_1,0.17742331,-0.055763893,0.06864333
Resp_max_6h_1,0.15874043,-0.006448608,0.10188436
MAP_std_6h_7,0.15777098,-0.050182503,0.012392142
MAP_min_6h_2,0.15369765,-0.055560254,0.020455353
SBP_std_6h_8,0.15328164,-0.017359495,0.08425573
MAP_diff_std_6h_1,0.15315329,-0.05054587,0.01580363
SBP_std_6h_4,0.15258445,-0.030050145,0.015855273
O2Sat_max_6h_1,0.14917444,-0.01783045,0.050418515
MAP_std_6h_1,0.14781228,-0.04102885,0.04146236
SBP_diff_std_6h_3,0.14546648,-0.047025632,0.02428211
SBP_diff_std_6h_4,0.1448769,-0.040196616,0.05014476
HR_diff_std_6h_7,0.1432614,-0.058409315,0.013438959
MAP_std_6h_5,0.13543005,-0.022804435,0.016260812
O2Sat_diff_std_6h_1,0.13463049,-0.05115238,0.017526217
SBP_mean_6h_3,0.13244237,0.0027888,0.014260353
HR_max_6h_1,0.13237055,-0.08231782,0.011633819
Resp_std_6h_8,0.13228016,-0.03395708,0.056128085
SBP_diff_std_6h_1,0.13019972,-0.038371194,0.031104362
SBP_std_6h_7,0.12971689,-0.02107513,0.045599192
MAP_std_6h_3,0.12823819,-0.029000271,0.021051776
Resp_min_6h_3,0.12785125,-0.021089507,0.0045575593
HR_diff_std_6h_5,0.12735313,-0.034405783,-6.7256755e-05
MAP_diff_std_6h_4,0.12716392,-0.041507427,0.00030918006
Resp_diff_std_6h_5,0.12512012,-0.034439642,0.032254286
MAP_diff_std_6h_3,0.12502685,-0.023158193,0.033272337
Resp_median_6h_3,0.124987625,-0.043261033,0.01714508
qSOFA_score_mean_global_1,0.12493936,-0.07538475,0.01758265
HR_diff_std_6h_8,0.12141466,-0.058370776,0.019070027
O2Sat_std_6h_1,0.1211671,-0.03493152,0.017206194
HR_std_6h_1,0.11915369,-0.04263356,0.016440822
MAP_min_6h_7,0.11902667,-0.03689215,0.017115844
SBP_mean_6h_8,0.11448789,-0.0024591358,0.032310147
SBP_max_6h_8,0.111227624,-0.01072701,0.03777838
MAP_std_6h_2,0.10757532,-0.050177187,0.025541188
Resp_min_6h_5,0.10729129,-0.038762078,0.006621283
Resp_diff_std_6h_3,0.10725448,-0.018633708,0.027281806
O2Sat_diff_std_6h_7,0.103718035,-0.034906976,0.008468919
MAP_diff_std_6h_7,0.10242576,-0.020673659,0.016110089
SBP_min_6h_4,0.10234021,-0.019336728,0.025179422
MAP_diff_std_6h_5,0.09890678,-0.013888726,0.016532931
O2Sat_std_6h_8,0.09736467,-0.013267448,0.014101018
SBP_median_6h_5,0.09704341,-0.019641366,0.0062104706
HR_max_6h_8,0.09535717,0.003108498,0.02696127
SBP_std_6h_3,0.095339745,-0.036892395,0.04508255
MAP_missing_interval_mean_global_1,0.09412973,-0.034147486,0.0010045094
Resp_std_6h_2,0.09410506,-0.044682216,0.011455139
SBP_diff_std_6h_8,0.09395439,-0.03473087,0.035440307
O2Sat_diff_std_6h_4,0.08948323,-0.023392152,0.016736379
SBP_min_6h_8,0.08900037,-0.014971178,0.03144139
HR_std_6h_2,0.08662329,-0.03417072,0.021051448
Resp_max_6h_4,0.085062765,0.009938599,0.014365634
SBP_diff_std_6h_7,0.08460887,-0.013877973,0.024022907
SBP_std_6h_1,0.08449226,-0.03195299,0.020744637
Resp_missing_interval_mean_global_1,0.084049374,-0.032524273,0.029970251
Resp_std_6h_1,0.08276355,-0.018345734,0.014601255
MAP_min_6h_5,0.082229935,-0.021656105,0.022642719
Resp_diff_std_6h_8,0.081612006,-0.032312483,0.0036698522
MAP_diff_std_6h_8,0.08157091,-0.037542354,0.021863494
SBP_std_6h_2,0.080584265,-0.04065186,0.045441255
SBP_min_6h_3,0.08012544,-0.002231165,0.011252303
O2Sat_diff_std_6h_3,0.079384744,-0.02191753,0.031043865
HR_diff_std_6h_1,0.07910232,-0.038429707,0.016991086
HR_std_6h_8,0.07905002,-0.027761657,0.020759119
O2Sat_max_6h_3,0.078690186,-0.016370043,0.0013776592
SBP_median_6h_7,0.07736345,-0.008245055,0.010490886
SBP_std_6h_5,0.07722115,-0.009132343,0.03114598
HR_std_6h_7,0.07712901,-0.02498692,0.009203132
MAP_max_6h_1,0.07492539,-0.035111334,0.024311896
O2Sat_min_6h_3,0.07351686,0.0002793238,0.023656564
SBP_mean_6h_2,0.07121951,-0.045640662,-0.012655273
HR_std_6h_4,0.07093319,-0.012931384,0.021511715
HR_diff_std_6h_3,0.07076083,-0.030252637,0.010964196
MAP_min_6h_3,0.07034975,-0.023224508,0.018877447
MAP_std_6h_8,0.07034043,-0.028934985,0.026752891
MAP_median_6h_8,0.07015191,-0.03257424,0.0044951392
MAP_std_6h_6,0.069983445,-0.014038783,0.012612437
NEWS_score_median_global_1,0.069708325,-0.02118603,0.023854515
HR_std_6h_6,0.06947231,-0.023596235,0.01730795
SBP_diff_std_6h_5,0.06881519,-0.019699484,0.03673864
SBP_max_6h_1,0.06824074,-0.014067483,0.0077367364
Resp_std_6h_7,0.06732275,-0.034913145,0.009063994
Resp_min_6h_4,0.067242496,0.008092345,0.03085531
MAP_mean_6h_8,0.0670662,0.0014134505,0.009355616
HR_std_6h_3,0.06602417,-0.025092896,0.012029685
Resp_std_6h_3,0.065898925,-0.02958636,0.0077077853
MAP_max_6h_4,0.065767825,-0.012655632,0.015505316
Resp_median_6h_6,0.06555853,-0.010219316,0.0031447727
O2Sat_std_6h_2,0.0652494,-0.035209347,0.0024446084
SBP_std_6h_6,0.063467585,-0.009816796,0.014751967
HR_std_6h_5,0.06296893,-0.0005228982,0.022333656
Resp_diff_std_6h_4,0.06264873,-0.023625784,0.0053753187
MAP_diff_std_6h_6,0.06253894,-0.02495149,-0.0033333297
SBP_min_6h_2,0.062248763,-0.017731354,0.0030169708
Resp_diff_std_6h_7,0.06153769,-0.0098111965,0.03322172
O2Sat_std_6h_3,0.059850287,-0.01676201,0.023532331
MAP_mean_6h_6,0.059706192,-0.03200544,-0.01071003
SBP_diff_std_6h_6,0.059671357,-0.013371598,0.00954971
MAP_median_6h_6,0.05893234,-0.004016254,0.016113266
Resp_median_6h_7,0.058502913,-0.008748332,0.013483218
SOFA_score_last_global_1,0.058284994,0.029310632,0.047007486
MAP_min_6h_4,0.05701832,-0.01594326,0.011747371
MAP_max_6h_8,0.056914166,-0.0003254556,0.014516531
Resp_min_6h_2,0.05690111,-0.019257246,0.012187255
MAP_min_6h_6,0.05660156,-0.019816445,0.008085309
O2Sat_std_6h_7,0.055851065,-0.00994697,0.014315136
O2Sat_mean_6h_8,0.05543534,-0.012585923,0.011441024
HR_diff_std_6h_4,0.055010974,-0.009709028,0.020645708
SBP_median_6h_6,0.05496818,-0.014805542,0.00048810823
SBP_mean_6h_5,0.054797504,-0.021733169,-0.008519772
HR_median_6h_8,0.054308575,0.0044043027,0.012632793
Resp_median_6h_8,0.054000206,-0.0056968215,0.011248309
MAP_max_6h_2,0.05398455,-0.020400515,0.014267464
