feature,mean_abs_shap,mean_shap_negative,mean_shap_positive
ICULOS_last,1.3258824,-0.76822376,2.0743906
FiO2_missing_interval_mean_global_y,1.0516165,-0.67209655,0.58799326
Temp_max_global,0.68499887,-0.32617128,0.31127504
WBC_missing_interval_mean_global_y,0.5703137,-0.11521494,0.33492365
WBC_max_global,0.42795497,-0.1526001,0.1354644
EtCO2_missing_count_global_y,0.4196562,-0.24175802,0.33844116
Lactate_missing_interval_mean_global_y,0.4194655,-0.19300072,0.31629044
Alkalinephos_missing_interval_mean_global_y,0.41879833,-0.17974244,0.08234248
HR_last_global,0.3853278,-0.14706793,0.11989318
FiO2_missing_count_global_y,0.36686042,-0.20145153,0.30040202
pH_missing_interval_mean_global_y,0.32705635,-0.1961758,0.1532221
FiO2_max_global,0.29539737,-0.11056491,0.10236975
SOFA_max_global,0.2700763,-0.11790908,0.02694315
BaseExcess_missing_interval_mean_global_y,0.22553955,-0.01437459,0.060085453
SBP_missing_interval_mean_global_y,0.22327569,-0.12491822,0.009827722
SBP_max_global,0.22068428,-0.057453092,0.046605825
Temp_missing_count_global_y,0.21678412,-0.018533442,0.07274571
qSOFA_mean_global,0.19888963,-0.0726831,0.05992684
pH_max_global,0.19680507,-0.048631817,0.11621573
Temp_mean_6h2,0.1845071,0.011885166,0.02449748
Alkalinephos_max_global,0.17864054,-0.06431171,0.01804424
MAP_last_global,0.17691134,-0.058079317,0.03816886
Resp_last_global,0.1708809,-0.042674433,0.045669965
MAP_missing_count_global_y,0.1626065,-0.058155842,0.027007943
DBP_last_global,0.15812394,-0.057428177,0.027133185
Resp_mean_6h1,0.15711084,-0.06583279,0.024128776
DBP_missing_interval_mean_global_y,0.15280896,-0.07262568,0.006650531
Temp_missing_interval_mean_global_y,0.15235634,-0.04023671,0.02444076
SBP_last_6h1,0.15037647,0.007441362,0.027823212
MAP_max_6h2,0.13931657,-0.0065789595,0.010094246
MAP_last_6h2,0.13524094,0.008397907,0.021785986
DBP_last_6h7,0.13149406,-0.050144434,0.028212281
EtCO2_max_global,0.12394131,-0.0092552,0.02024533
Temp_max_6h2,0.12190558,-0.023002028,0.044120714
DBP_max_6h1,0.12102657,-0.037630253,0.009803144
Age_mean_global,0.11693833,-0.016613998,0.018751089
Temp_last_global,0.11507561,-0.060425557,0.04156819
SBP_missing_count_global_y,0.114695124,0.058958095,0.08265688
HR_last_6h1,0.11177746,-0.020367453,0.034006737
WBC_mean_6h4,0.10609197,-0.013806299,0.009906551
Temp_mean_6h3,0.10593791,-0.013330637,0.052613426
WBC_last_6h11,0.10427354,-0.03301014,0.2212386
SBP_mean_6h4,0.10383081,-0.04635435,0.011417523
pH_last_global,0.10296892,-0.027337516,0.011532547
Resp_missing_interval_mean_global_y,0.102927834,-0.005932432,0.009029762
SBP_mean_6h1,0.10270241,0.0036395907,0.017997632
Temp_max_6h6,0.10200539,-0.020795815,0.031512644
SBP_mean_global,0.099261746,0.0017933231,0.041610826
SBP_max_6h1,0.097794585,-0.031396046,0.0046321903
O2Sat_last_6h2,0.09614065,-0.01734957,-0.00025702536
DBP_max_6h3,0.09419844,-0.04506845,0.0053763166
WBC_missing_count_global_y,0.09405938,-0.06454635,0.035653234
Temp_mean_global,0.091143124,-0.03710108,0.019358315
O2Sat_last_6h4,0.090877116,-0.04068104,0.018415615
Temp_mean_6h1,0.08931906,-0.016695587,-0.0022224942
MAP_last_6h3,0.08872661,-0.04336658,0.022216383
WBC_mean_6h2,0.08825936,-0.033023592,0.00838595
O2Sat_last_global,0.086982094,-0.019425284,0.03345444
Temp_max_6h4,0.0868785,-0.032846138,0.024516663
O2Sat_mean_6h3,0.08677168,-0.009105816,0.025598034
DBP_max_6h4,0.08598803,-0.00025534333,-0.0073867645
MAP_mean_6h1,0.08392711,-0.02366174,-0.0071075326
HR_missing_count_global_y,0.08283041,-0.017342811,0.029070415
SBP_max_6h4,0.0823775,-0.011896024,-0.017367112
DBP_last_6h1,0.08108958,-0.020925265,0.0070753046
MAP_max_global,0.0788661,-0.020488434,0.013132265
BaseExcess_mean_6h1,0.07870344,-0.0149259865,-0.0010489833
O2Sat_max_6h4,0.078167714,0.0020021086,0.013756273
Temp_max_6h7,0.077854,-0.031083433,0.00037963776
pH_last_6h1,0.076943815,8.466804e-05,0.0048645223
NEWS_last_global,0.0769045,-0.0056282217,0.008833468
HR_mean_6h2,0.076124676,-0.009435171,0.014031509
HR_last_6h5,0.07580817,-0.002649535,0.0060499976
WBC_mean_6h3,0.0755371,-0.012790342,0.019935237
pH_max_6h2,0.0746999,-0.011346595,0.004072292
FiO2_last_6h3,0.07376064,-0.012113477,0.03102401
Temp_last_6h2,0.07338872,-0.017910182,0.0069715083
BaseExcess_max_global,0.07128451,-0.010627295,-0.0032734717
Lactate_missing_count_global_y,0.07092578,-0.031218577,0.045880858
O2Sat_mean_6h4,0.069576144,-0.037634604,0.013543024
Resp_max_6h2,0.06820882,-0.0004163844,0.014096762
NEWS_mean_global,0.067679346,-0.02484571,0.023621596
DBP_max_6h2,0.06705369,-0.021079373,0.011544928
FiO2_last_global,0.0651321,0.0070387586,0.010406747
AST_last_global,0.06485407,0.0046105036,0.013651889
Resp_last_6h1,0.064835764,-0.02453913,0.00035370348
SBP_last_global,0.06330525,-0.025892146,0.020752378
HR_last_6h7,0.063011296,-0.040103268,-0.018070832
Resp_mean_6h3,0.062269274,-0.024221657,0.019574879
Lactate_mean_6h2,0.061991934,-0.0016101551,0.0019221872
SOFA_mean_global,0.06107364,-0.028486503,-0.0006755428
Temp_mean_6h4,0.061028443,-0.030145647,-0.0011447851
FiO2_max_6h1,0.060651965,-0.00035212212,0.004792768
Temp_max_6h5,0.060293853,-0.025255542,0.007185777
O2Sat_mean_global,0.060154498,-0.017426258,0.015289461
WBC_max_6h1,0.06010012,-0.023790028,0.008793042
O2Sat_last_6h3,0.059883013,-0.012453599,0.0067876936
O2Sat_missing_interval_mean_global_y,0.059858847,-0.0034941533,0.0035313258
Resp_mean_6h11,0.05949202,-0.011305806,0.14916451
HR_last_6h3,0.059484832,-0.033622276,-0.005364773
Resp_missing_count_global_y,0.0591517,-0.029524943,0.00050057954
BaseExcess_mean_6h4,0.058493465,-0.02615817,0.0041158157
TroponinI_max_6h3,0.05780203,-0.011155331,0.003919243
BaseExcess_last_6h2,0.057417717,-0.014588636,0.0015753699
HR_max_6h3,0.056816243,-0.006400957,0.0049742684
SBP_mean_6h3,0.05650095,-0.030994361,0.003789228
