Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,92.5,0-1,0-2,0-2,4362.04004,82224.4844,
0,1,0-1,ICULOS,53.0,0-3,0-4,0-4,2859.10156,50166.168,
0,2,0-2,Resp,24.5,0-5,0-6,0-6,951.705322,32058.3164,
0,3,0-3,BUN,27.6573315,0-7,0-8,0-8,1127.99438,34486.3047,
0,4,0-4,MAP,83.0,0-9,0-10,0-10,648.257507,15679.8604,
0,5,0-5,Hct,29.3427086,0-11,0-12,0-12,550.845337,23551.8984,
0,6,0-6,Age,19.7900009,0-13,0-14,0-14,229.69873,8506.41992,
0,7,0-7,pH,7.37210035,0-15,0-16,0-16,635.898438,26201.7754,
0,8,0-8,Resp,18.0,0-17,0-18,0-18,391.51355,8284.53125,
0,9,0-9,TroponinI,11.3983545,0-19,0-20,0-20,244.646851,9080.47461,
0,10,0-10,HR,72.0,0-21,0-22,0-22,384.46875,6599.38525,
0,11,0-11,ICULOS,15.0,0-23,0-24,0-24,190.138428,4225.82861,
0,12,0-12,ICULOS,57.0,0-25,0-26,0-26,517.628845,19326.0684,
0,13,0-13,Calcium,8.69999981,0-27,0-28,0-28,43.6910095,63.4311295,
0,14,0-14,ICULOS,56.0,0-29,0-30,0-30,228.953369,8442.98828,
0,15,0-15,Leaf,,,,,-0.0120004797,4895.21533,
0,16,0-16,Leaf,,,,,-0.0519716032,21306.5605,
0,17,0-17,Leaf,,,,,-0.0281223785,3415.58716,
0,18,0-18,Leaf,,,,,0.0160348509,4868.94434,
0,19,0-19,Leaf,,,,,0.044570297,6596.19434,
0,20,0-20,Leaf,,,,,0.0077480562,2484.28052,
0,21,0-21,Leaf,,,,,-0.050642252,1527.87231,
0,22,0-22,Leaf,,,,,0.00656530634,5071.51318,
0,23,0-23,Leaf,,,,,0.079749994,1511.68188,
0,24,0-24,Leaf,,,,,0.0354785211,2714.14697,
0,25,0-25,Leaf,,,,,4.04547536e-05,12985.627,
0,26,0-26,Leaf,,,,,0.0348955914,6340.44189,
0,27,0-27,Leaf,,,,,-0.153871939,58.9086761,
0,28,0-28,Leaf,,,,,0.1456763,4.52245188,
0,29,0-29,Leaf,,,,,0.0456838161,5084.66211,
0,30,0-30,Leaf,,,,,0.0793507993,3358.32617,
