threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.109,0.8891,0.5041,0.7713,62.49%,37.51%,11.09%,88.91%
0.1189,0.8759,0.5181,0.7696,65.06%,34.94%,12.41%,87.59%
0.1288,0.8672,0.5323,0.7702,67.31%,32.69%,13.28%,86.72%
0.1387,0.8526,0.5428,0.7652,69.19%,30.81%,14.74%,85.26%
0.1486,0.8496,0.5548,0.768,70.76%,29.24%,15.04%,84.96%
0.1585,0.8438,0.5639,0.7676,72.01%,27.99%,15.62%,84.38%
0.1684,0.838,0.5752,0.7678,73.45%,26.55%,16.20%,83.80%
0.1783,0.8263,0.5871,0.764,75.08%,24.92%,17.37%,82.63%
0.1882,0.8219,0.6009,0.7656,76.58%,23.42%,17.81%,82.19%
0.1981,0.819,0.6091,0.7662,77.46%,22.54%,18.10%,81.90%
0.208,0.8146,0.6152,0.765,78.15%,21.85%,18.54%,81.46%
0.2179,0.8102,0.6229,0.7643,78.96%,21.04%,18.98%,81.02%
0.2278,0.8073,0.6386,0.7668,80.40%,19.60%,19.27%,80.73%
0.2377,0.8015,0.6512,0.7661,81.59%,18.41%,19.85%,80.15%
0.2476,0.7883,0.6545,0.7574,82.15%,17.85%,21.17%,78.83%
0.2575,0.7825,0.6625,0.7551,82.91%,17.09%,21.75%,78.25%
0.2674,0.7796,0.6759,0.7564,83.97%,16.03%,22.04%,77.96%
0.2773,0.7766,0.6803,0.7553,84.35%,15.65%,22.34%,77.66%
0.2872,0.7723,0.6915,0.7546,85.22%,14.78%,22.77%,77.23%
0.2971,0.7664,0.7,0.7521,85.91%,14.09%,23.36%,76.64%
0.307,0.765,0.7081,0.7529,86.47%,13.53%,23.50%,76.50%
0.3169,0.7577,0.7169,0.7491,87.16%,12.84%,24.23%,75.77%
0.3268,0.7547,0.7251,0.7486,87.73%,12.27%,24.53%,75.47%
0.3367,0.7533,0.7319,0.7489,88.17%,11.83%,24.67%,75.33%
0.3466,0.7504,0.7374,0.7477,88.54%,11.46%,24.96%,75.04%
0.3565,0.7387,0.7398,0.7389,88.85%,11.15%,26.13%,73.87%
0.3664,0.7358,0.75,0.7386,89.48%,10.52%,26.42%,73.58%
0.3763,0.7285,0.7538,0.7334,89.79%,10.21%,27.15%,72.85%
0.3862,0.7255,0.7576,0.7317,90.04%,9.96%,27.45%,72.55%
0.3961,0.7226,0.7674,0.7312,90.61%,9.39%,27.74%,72.26%
0.406,0.7197,0.7703,0.7293,90.80%,9.20%,28.03%,71.97%
0.4159,0.7139,0.775,0.7253,91.11%,8.89%,28.61%,71.39%
0.4258,0.7124,0.7808,0.7251,91.42%,8.58%,28.76%,71.24%
0.4357,0.7066,0.7857,0.7211,91.73%,8.27%,29.34%,70.66%
