feature,value,shap_value
ICULOS_last,54.0,-1.6515539
SOFA_score_mean_global_1,1.8703703703703705,1.2311888
SOFA_score_mean_global_2,1.8703703703703705,0.0
SOFA_score_mean_global_3,1.8703703703703705,0.0
SOFA_score_mean_global_4,1.8703703703703705,0.0
SOFA_score_mean_global_5,1.8703703703703705,0.0
SOFA_score_mean_global_7,1.8703703703703705,0.0
SOFA_score_mean_global_8,1.8703703703703705,0.0
SOFA_score_median_global_1,2.0,-0.012832848
SOFA_score_median_global_2,2.0,0.0
SOFA_score_median_global_3,2.0,0.0
SOFA_score_median_global_4,2.0,0.0
SOFA_score_median_global_5,2.0,0.0
SOFA_score_median_global_7,2.0,0.0
SOFA_score_median_global_8,2.0,0.0
SOFA_score_max_global_1,3.0,-0.92628694
SOFA_score_max_global_2,3.0,0.0
SOFA_score_max_global_3,3.0,0.0
SOFA_score_max_global_4,3.0,0.0
SOFA_score_max_global_5,3.0,0.0
SOFA_score_max_global_7,3.0,0.0
SOFA_score_max_global_8,3.0,0.0
SOFA_score_last_global_1,2.0,0.14254905
SOFA_score_last_global_2,2.0,0.0
SOFA_score_last_global_3,2.0,0.0
SOFA_score_last_global_4,2.0,0.0
SOFA_score_last_global_5,2.0,0.0
SOFA_score_last_global_7,2.0,0.0
SOFA_score_last_global_8,2.0,0.0
NEWS_score_mean_global_1,7.796296296296297,0.7317439
NEWS_score_mean_global_2,7.796296296296297,0.0
NEWS_score_mean_global_3,7.796296296296297,0.0
NEWS_score_mean_global_4,7.796296296296297,0.0
NEWS_score_mean_global_5,7.796296296296297,0.0
NEWS_score_mean_global_7,7.796296296296297,0.0
NEWS_score_mean_global_8,7.796296296296297,0.0
NEWS_score_median_global_1,8.0,-0.017007176
NEWS_score_median_global_2,8.0,0.0
NEWS_score_median_global_3,8.0,0.0
NEWS_score_median_global_4,8.0,0.0
NEWS_score_median_global_5,8.0,0.0
NEWS_score_median_global_7,8.0,0.0
NEWS_score_median_global_8,8.0,0.0
NEWS_score_max_global_1,11.0,0.28282976
NEWS_score_max_global_2,11.0,0.0
NEWS_score_max_global_3,11.0,0.0
NEWS_score_max_global_4,11.0,0.0
NEWS_score_max_global_5,11.0,0.0
NEWS_score_max_global_7,11.0,0.0
NEWS_score_max_global_8,11.0,0.0
NEWS_score_last_global_1,8.0,0.5877609
NEWS_score_last_global_2,8.0,0.0
NEWS_score_last_global_3,8.0,0.0
NEWS_score_last_global_4,8.0,0.0
NEWS_score_last_global_5,8.0,0.0
NEWS_score_last_global_7,8.0,0.0
NEWS_score_last_global_8,8.0,0.0
qSOFA_score_mean_global_1,0.8888888888888888,0.09266691
qSOFA_score_mean_global_2,0.8888888888888888,0.0
qSOFA_score_mean_global_3,0.8888888888888888,0.0
qSOFA_score_mean_global_4,0.8888888888888888,0.0
qSOFA_score_mean_global_5,0.8888888888888888,0.0
qSOFA_score_mean_global_7,0.8888888888888888,0.0
qSOFA_score_mean_global_8,0.8888888888888888,0.0
qSOFA_score_median_global_1,1.0,0.0004846101
qSOFA_score_median_global_2,1.0,0.0
qSOFA_score_median_global_3,1.0,0.0
qSOFA_score_median_global_4,1.0,0.0
qSOFA_score_median_global_5,1.0,0.0
qSOFA_score_median_global_7,1.0,0.0
qSOFA_score_median_global_8,1.0,0.0
qSOFA_score_max_global_1,2.0,0.009056425
qSOFA_score_max_global_2,2.0,0.0
qSOFA_score_max_global_3,2.0,0.0
qSOFA_score_max_global_4,2.0,0.0
qSOFA_score_max_global_5,2.0,0.0
qSOFA_score_max_global_7,2.0,0.0
qSOFA_score_max_global_8,2.0,0.0
qSOFA_score_last_global_1,1.0,0.005290078
qSOFA_score_last_global_2,1.0,0.0
qSOFA_score_last_global_3,1.0,0.0
qSOFA_score_last_global_4,1.0,0.0
qSOFA_score_last_global_5,1.0,0.0
qSOFA_score_last_global_7,1.0,0.0
qSOFA_score_last_global_8,1.0,0.0
HR_missing_interval_mean_global_1,1.0,-0.06877858
HR_missing_interval_mean_global_2,1.0,0.0
HR_missing_interval_mean_global_3,1.0,0.0
HR_missing_interval_mean_global_4,1.0,0.0
HR_missing_interval_mean_global_5,1.0,0.0
HR_missing_interval_mean_global_7,1.0,0.0
HR_missing_interval_mean_global_8,1.0,0.0
O2Sat_missing_interval_mean_global_1,1.1111111111111112,-0.13682747
O2Sat_missing_interval_mean_global_2,1.1111111111111112,0.0
O2Sat_missing_interval_mean_global_3,1.1111111111111112,0.0
O2Sat_missing_interval_mean_global_4,1.1111111111111112,0.0
O2Sat_missing_interval_mean_global_5,1.1111111111111112,0.0
O2Sat_missing_interval_mean_global_7,1.1111111111111112,0.0
O2Sat_missing_interval_mean_global_8,1.1111111111111112,0.0
SBP_missing_interval_mean_global_1,1.0,-0.26934806
SBP_missing_interval_mean_global_2,1.0,0.0
SBP_missing_interval_mean_global_3,1.0,0.0
SBP_missing_interval_mean_global_4,1.0,0.0
SBP_missing_interval_mean_global_5,1.0,0.0
SBP_missing_interval_mean_global_7,1.0,0.0
SBP_missing_interval_mean_global_8,1.0,0.0
MAP_missing_interval_mean_global_1,1.0,0.06653129
MAP_missing_interval_mean_global_2,1.0,0.0
